,0,1,2,3,4,5,6
TRIAN-B.ST,-34.392673,-34.921577,-34.51881,-34.964428,-34.504044,-34.904705,-35.011444
VITR.ST,-16.64128,-17.313276,-16.797647,-17.367073,-16.780193,-17.290276,-17.425133
VOLO-PREF.ST,-34.35085,-34.880318,-34.441498,-34.91742,-34.438778,-34.849182,-34.948788
VOLV-B.ST,-25.82143,-26.419268,-25.958948,-26.4669,-25.943914,-26.398228,-26.517933
ACCON.ST,24.383835,23.381506,24.127638,23.297476,24.16149,23.40652,23.200615
AGES-B.ST,178.37003,176.12639,177.79277,175.93787,177.86983,176.18127,175.7198
AKEL-D.ST,-35.273037,-35.80648,-35.42623,-35.852238,-35.406006,-35.796272,-35.90414
ALFA.ST,-22.759806,-23.382277,-22.90446,-23.432087,-22.888235,-23.36089,-23.485855
ALIV-SDB.ST,62.14457,60.838306,61.803314,60.727623,61.850143,60.868,60.597996
AMBEA.ST,-7.566201,-8.31133,-7.7344656,-8.370177,-7.716844,-8.283823,-8.432318
AOI.ST,435.08875,430.53067,433.70462,430.27808,434.01404,430.88327,430.0429
AQ.ST,-11.060241,-11.776936,-11.239437,-11.836373,-11.21656,-11.757456,-11.903889
ASPIRE.ST,115.40583,113.66933,115.013954,113.532234,115.05491,113.733536,113.38755
ATCO-B.ST,-26.107195,-26.702713,-26.25251,-26.75151,-26.234718,-26.68506,-26.805992
ATORX.ST,209.04688,206.5562,208.43097,206.3508,208.50804,206.62666,206.11932
ATT.ST,37.450706,36.343056,37.176277,36.251625,37.210777,36.37418,36.148407
AWRD.ST,-17.229557,-17.897064,-17.386675,-17.950766,-17.368801,-17.874863,-18.00905
AZN.ST,-31.854944,-32.404346,-31.98314,-32.448387,-31.968761,-32.38567,-32.49596
BELE.ST,-2.5590744,-3.3447375,-2.7480724,-3.4086242,-2.7256165,-3.320273,-3.4790926
BHG.ST,-29.63845,-30.218422,-29.785006,-30.264923,-29.769756,-30.19932,-30.312551
BIOA-B.ST,30.998608,29.938343,30.752354,29.854162,30.778618,29.976208,29.765327
BIOT.ST,-24.322422,-24.932552,-24.459423,-24.980602,-24.44527,-24.909697,-25.031105
BOOZT.ST,6.044688,5.190159,5.8362074,5.120131,5.8617406,5.215448,5.041907
BRIG.ST,76.61812,75.19456,76.26062,75.07628,76.306465,75.232704,74.9417
BUSER.ST,-21.725666,-22.359735,-21.902435,-22.414783,-21.877003,-22.348736,-22.480516
CAT-A.ST,-14.1195345,-14.811799,-14.285594,-14.868049,-14.2659445,-14.790139,-14.930063
CATE.ST,-15.7290325,-16.409187,-15.875213,-16.461569,-15.861827,-16.380846,-16.514557
CLA-B.ST,657.79706,650.84607,655.5118,650.7689,656.22375,651.97784,650.93365
CLNK-B.ST,-32.044014,-32.592186,-32.170082,-32.635788,-32.15644,-32.572742,-32.682285
COLL.ST,326.08926,322.65512,325.2003,322.36566,325.32,322.73676,322.02933
DORO.ST,14.741986,13.817305,14.502753,13.739334,14.534946,13.839254,13.648747
DRIL.ST,-19.330027,-19.980038,-19.495258,-20.034382,-19.47358,-19.963448,-20.096811
DURC-B.ST,308.62134,305.26697,307.6495,305.00104,307.81302,305.37222,304.6932
DUST.ST,-7.615054,-8.359781,-7.775403,-8.417323,-7.7604127,-8.329165,-8.476014
ENG.ST,-25.550776,-26.150688,-25.697712,-26.199944,-25.679583,-26.133156,-26.255117
ENQ.ST,1906.6846,1886.3666,1899.3612,1887.2179,1902.2808,1891.7502,1889.5377
ENZY.ST,158.59308,156.3621,157.91164,156.26085,158.07936,156.57835,156.18271
EOLU-B.ST,-19.25746,-19.91128,-19.426886,-19.965996,-19.404894,-19.894861,-20.028275
ETX.ST,108.696594,107.0137,108.26112,106.872025,108.31953,107.0541,106.70785
FERRO.ST,-16.858614,-17.543814,-17.052462,-17.602112,-17.027458,-17.529535,-17.667496
FIL.ST,14.98029,14.053658,14.752188,13.977416,14.780542,14.080319,13.891743
FOOT-B.ST,-7.4721594,-8.234768,-7.6793194,-8.298251,-7.6543865,-8.215436,-8.367242
FPAR-A.ST,-26.291298,-26.88553,-26.43888,-26.934612,-26.420332,-26.868895,-26.989994
GAPW-B.ST,26.083214,25.067019,25.819807,24.981243,25.85529,25.090939,24.881536
GETI-B.ST,-32.575382,-33.118824,-32.71185,-33.16395,-32.69431,-33.104214,-33.215317
GHP.ST,-25.169872,-25.773174,-25.313286,-25.82196,-25.29662,-25.753725,-25.875362
GUNN.ST,331.7348,328.2495,330.7883,327.95163,330.9259,328.32095,327.59705
HM-B.ST,82.20006,80.73038,81.80804,80.6048,81.862915,80.76114,80.45655
HNSA.ST,133.11478,131.23595,132.66458,131.08333,132.71788,131.2949,130.91515
HPOL-B.ST,39.463333,38.339455,39.170387,38.24438,39.210358,38.36536,38.13336
HUM.ST,4.1106853,3.2716079,3.9042997,3.2025971,3.9298894,3.2958105,3.125119
HUSQ-B.ST,172.63531,170.43678,172.05186,170.24991,172.13385,170.48499,170.02983
IMMNOV.ST,8.760775,7.883682,8.546243,7.811819,8.572474,7.9096622,7.731688
INDU-A.ST,-30.640825,-31.199781,-30.775106,-31.245245,-30.759125,-31.1824,-31.295483
IVACC.ST,-24.557558,-25.171005,-24.72125,-25.222761,-24.699778,-25.15675,-25.281782
JM.ST,-23.694939,-24.309927,-23.849072,-24.360968,-23.82935,-24.293327,-24.419003
KAPIAB.ST,-33.5348,-34.070637,-33.65122,-34.11221,-33.64011,-34.049026,-34.15487
KINV-B.ST,-3.989976,-4.7636003,-4.175981,-4.826534,-4.153716,-4.739568,-4.896172
LIFCO-B.ST,-21.827501,-22.45758,-21.980291,-22.509052,-21.961826,-22.438528,-22.56624
LIME.ST,-36.55591,-37.078827,-36.69722,-37.122234,-36.68039,-37.065273,-37.169224
LUND-B.ST,-35.15123,-35.673836,-35.28038,-35.716927,-35.26422,-35.659016,-35.765465
MINEST.ST,0.05131314,-0.7618896,-0.14140001,-0.826609,-0.121007726,-0.73341864,-0.89443946
MIPS.ST,-27.960382,-28.542694,-28.08484,-28.58729,-28.073832,-28.517841,-28.631813
MNTC.ST,3.713573,2.8587894,3.4748144,2.7865603,3.5049572,2.8778331,2.7063446
MSAB-B.ST,109.70625,108.01632,109.29554,107.87809,109.34548,108.06701,107.72412
MSON-A.ST,165.57019,163.42827,165.00426,163.2462,165.08253,163.47536,163.03249
MTG-A.ST,23.861889,22.863724,23.608114,22.780268,23.641367,22.889198,22.684446
MTRS.ST,20.967066,19.992285,20.714064,19.90994,20.7483,20.015089,19.81406
NETI-B.ST,3629.7114,3590.4202,3615.173,3592.9346,3621.484,3602.5125,3598.8806
NLAB.ST,70.85482,69.47766,70.49408,69.36101,70.54364,69.50899,69.224495
NOKIA-SEK.ST,27.998423,26.966908,27.74203,26.881622,27.77443,26.995575,26.785166
