,0,1,2,3,4,5
VNV-SDB.ST,-1.288157,-1.1863921,-0.8671972,-1.3791332,-0.7329501,0.18053497
VOLV-A.ST,-0.28599983,-0.17431563,0.14693107,-0.33947265,0.33591506,1.3051611
WIHL.ST,-1.6406617,-1.6306707,-1.3301306,-2.0190406,-1.672218,-1.3370539
XANO-B.ST,0.24572897,0.47284275,0.76183575,0.851692,1.7807565,3.5744402
24STOR.ST,-1.3753278,-1.3413543,-1.0563995,-1.6639168,-1.334488,-0.92607564
AAC.ST,0.24466802,0.19619484,0.276319,1.0568641,0.7302085,1.7700077
AAK.ST,-0.101911075,-0.03633999,0.2767625,-0.29979485,0.22592226,0.91162485
AEC.ST,-2.8420007,-2.6028621,-2.3244746,-2.3404462,-1.445712,0.11409042
ALIG.ST,-0.8024869,-0.55077016,-0.23519695,-0.2836602,0.7798049,2.577849
AMAST-PREF.ST,-1.3988366,-1.4617974,-1.1526663,-2.0787587,-1.9243494,-1.9509422
ARION-SDB.ST,-2.304544,-2.1253638,-1.841391,-2.0526638,-1.314272,-0.101723105
ASSA-B.ST,0.5546577,0.60716146,0.92492247,0.2953835,0.79137975,1.4176815
ATRLJ-B.ST,-0.77407175,-0.73614174,-0.42997992,-1.0583804,-0.62330717,-0.11437905
AVEN.ST,-2.322729,-2.105092,-1.8050401,-1.9068404,-0.96611875,0.5468423
AXIC-A.ST,-2.8117495,-2.5757513,-2.288895,-2.3151832,-1.3680077,0.2136869
BALD-B.ST,0.52786577,-0.48743242,-1.1949843,1.9103824,-3.2029178,-5.172489
BULTEN.ST,0.7720545,0.92875457,1.1738445,1.4034994,2.0298383,3.668754
CAG.ST,-3.4358644,-3.2005475,-2.926181,-2.9336615,-2.0570793,-0.51251286
CE.ST,-986.32153,-2298.1306,-2546.7285,-1126.6912,-5633.357,-8535.696
CEVI.ST,-2.100477,-1.93621,-1.6352806,-1.8984773,-1.108748,0.085144274
CONS-B.ST,-3.8715246,-3.807676,-3.5137508,-4.0365477,-3.542618,-2.915586
CORE-A.ST,-2.5016537,-2.3241374,-2.026591,-2.2474205,-1.4301134,-0.17122185
DDM.ST,-0.8984701,-0.7029755,-0.43676338,-0.28609076,0.50533414,2.2094486
DIST.ST,-0.2588587,-0.078695446,0.1677858,0.39838907,1.1009736,2.7312047
ELAN-B.ST,0.24787524,-0.47251752,-0.91654646,1.4491546,-2.0089014,-3.013734
ELTEL.ST,-0.35841125,-0.44225967,-0.395675,0.49200842,-0.006052342,0.8942253
ELUX-A.ST,-0.48704025,-0.23469585,0.08381441,0.02394459,1.0945656,2.8982332
ENEA.ST,-1.7078497,-1.5351707,-1.2313349,-1.4803369,-0.66163975,0.58705604
FING-B.ST,5.044727,2.0472953,-0.21169567,7.619817,-6.984121,-14.7406225
FNM.ST,0.016139135,0.26843807,0.58363146,0.5459994,1.6074419,3.4067938
FOI-B.ST,-0.5437611,-0.294744,0.029440323,-0.07687641,0.997406,2.7699814
FPAR-D.ST,-8.33437,-8.4178915,-8.15422,-9.028549,-9.047719,-9.307386
GOMX.ST,5.2592144,3.5292904,2.4376802,6.942248,-0.8472955,-4.243322
GPG-PREF.ST,-0.35823137,-0.42273068,-0.10849058,-1.0553986,-0.89771205,-0.92389613
HELIO.ST,-1.119621,-1.6509908,-1.9442196,-0.021658076,-2.5755174,-3.009017
HEXA-B.ST,-0.2233338,-0.16263998,0.15692,-0.46495214,0.061077558,0.7391577
HOFI.ST,1.2579235,1.3669344,1.5766363,1.929377,2.337676,3.856624
HTRO.ST,-0.3726633,-0.13817887,0.1555538,0.22111309,1.1843249,2.9832633
ICO.ST,-2.301049,-2.1422493,-1.8581212,-2.1265564,-1.444842,-0.34663877
INDEX.ST,-1.435301,-1.1989412,-0.915998,-0.8185887,0.13276294,1.8646697
INDT.ST,-0.5485805,-0.50491613,-0.19477244,-0.8226853,-0.36418787,0.19211513
INFREA.ST,-1.2901251,-1.2774904,-0.9917268,-1.6620737,-1.3905715,-1.1026949
INTRUM.ST,-0.17626673,0.072486095,0.37722063,0.4015531,1.4297985,3.249883
INVE-A.ST,-0.7155592,-0.6877139,-0.37748086,-1.0517441,-0.63775986,-0.16912672
IRRAS.ST,1.0496544,1.0338358,1.1441833,1.8291997,1.6591207,2.8192918
JETPAK.ST,-3.93877,-4.0236826,-3.7472765,-4.656874,-4.6694,-4.9271383
K2A-B.ST,-4.694551,-4.588647,-4.3118505,-4.7065644,-4.1798477,-3.3813634
KABE-B.ST,0.8834909,1.04324,1.2858869,1.5305122,2.1599004,3.7906168
KIND-SDB.ST,3.3301547,3.2782743,3.389428,4.0635853,3.7812438,4.956989
KLOV-PREF.ST,0.0023094898,-0.03935568,0.2756555,-0.6092087,-0.38600057,-0.2878009
LAGR-B.ST,-1.3073044,-1.2211914,-0.9163294,-1.4085112,-0.8364766,-0.06489715
LEMSE.ST,3.8306394,2.4586885,1.661221,5.174675,-0.9363019,-3.2018688
LEO.ST,4.060286,3.7603807,3.699909,4.914071,3.532014,4.0491614
LOOM-B.ST,-0.35784227,-0.20755184,0.111557126,-0.25884125,0.52228546,1.6945758
MAGI.ST,0.3651647,0.2900583,0.36054605,1.1625215,0.73465765,1.7452362
MAHA-A.ST,1.2893809,1.3792837,1.544118,2.022902,2.2680762,3.5675495
MAXF.ST,-0.3368595,-0.33347565,-0.020940006,-0.77149314,-0.42381355,-0.08518485
MCOV-B.ST,-1.9939152,-2.0615125,-1.7624329,-2.6609688,-2.5384052,-2.6255424
MMGR-B.ST,-0.7055085,-0.6267998,-0.30889067,-0.8753184,-0.2999119,0.47846973
MSON-B.ST,1.2913989,1.0159189,0.9145869,2.2771094,0.888081,1.216886
MTG-B.ST,-1.5810248,-2.9232693,-3.8100052,-0.055859536,-6.259225,-9.006025
MYCR.ST,-0.9799021,-0.73319453,-0.42938286,-0.4394794,0.58592623,2.3157322
NAXS.ST,0.47599995,0.50094414,0.8212972,0.10042854,0.5237757,1.0016783
NCC-A.ST,-0.3726462,-0.124132596,0.176095,0.21342649,1.2327697,3.020765
NDA-SE.ST,-0.5114025,-0.26614872,0.038516577,0.05950933,1.0785733,2.9061003
NENT-B.ST,-3.2860823,-3.3264072,-3.0471625,-3.844599,-3.7282777,-3.7385426
NET-B.ST,3.384664,3.0883427,2.9977634,4.3360925,2.9065704,3.2879274
NIBE-B.ST,-1.8576009,-1.8697282,-1.5703099,-2.3160195,-2.0340161,-1.8214802
NMAN.ST,-1.1137631,-1.1304162,-0.8266393,-1.5991541,-1.3239642,-1.1230103
NNH.ST,0.060921114,0.19826384,0.5189541,0.10881736,0.8548609,1.960574
NOBI.ST,0.59354925,0.79620355,1.0637673,1.2315677,2.0416803,3.7593708
NOLA-B.ST,-0.8961241,-0.6694895,-0.38343108,-0.295513,0.62995046,2.4006612
NP3-PREF.ST,-1.685398,-1.7861378,-1.5035496,-2.4704356,-2.5227513,-2.8626742
ORX.ST,0.4951313,0.42156166,0.45514184,1.373376,0.8560624,1.7248608
PEGRO-PREF.ST,2.36359,2.5374403,2.7982097,2.9918528,3.6967711,5.4038343
PIEZO.ST,0.46164542,0.6426146,0.89705825,1.1009111,1.8195189,3.4838583
POOL-B.ST,-201.91547,-352.95834,-380.66364,-219.4787,-734.46606,-1067.1505
PREC.ST,-66.48004,-121.89818,-134.85068,-68.68305,-264.88443,-389.57364
PROB.ST,1.8876263,1.8588592,1.9679748,2.6576786,2.443162,3.6086693
RAIL.ST,-1.7305083,-1.49573,-1.1885713,-1.2640395,-0.26290825,1.3845787
RROS.ST,0.5109867,0.43223107,0.46467966,1.3871386,0.8558673,1.7108288
SAGA-A.ST,-3.219733,-3.0352156,-2.7424254,-2.9485376,-2.1268704,-0.8480332
SAGA-D.ST,0.11981025,0.09443911,0.41085884,-0.4343465,-0.16194019,0.02914834
SAND.ST,-0.70826787,-0.52407724,-0.20459796,-0.48357624,0.3963239,1.7616277
SDIP-B.ST,-4.2607045,-4.160728,-3.868014,-4.2908525,-3.6955311,-2.8737764
SEMC.ST,0.016176037,-0.045521986,0.0025365928,0.8793961,0.43635577,1.3451886
SEYE.ST,-2.0266285,-1.7978117,-1.4999094,-1.5589887,-0.5923923,0.9785579
SJR-B.ST,0.09595007,0.1682356,0.3448218,0.7999778,1.0333598,2.4257169
SKIS-B.ST,-0.96435046,-0.74402934,-0.4318161,-0.57113016,0.3971584,1.9602466
SPEQT.ST,0.81537914,0.8026588,0.8810639,1.6493758,1.402829,2.4314542
SRNKE-B.ST,-0.5293548,-0.337272,-0.076223664,0.09893883,0.8679235,2.5557761
SSM.ST,0.48147184,0.23924296,0.16183501,1.4484552,0.21454296,0.63666916
STIL.ST,-2.036786,-1.8150221,-1.5133995,-1.6115735,-0.6564727,0.87506866
SUS.ST,-3.211281,-2.9647162,-2.6778631,-2.6825259,-1.706801,-0.07402395
SVED-B.ST,4.3017287,2.4157553,1.1884089,6.0894666,-2.435366,-6.543664
SWEC-B.ST,-1.5433029,-1.4458231,-1.1419798,-1.6002458,-0.9969723,-0.16616434
SWED-A.ST,-0.09297907,0.1151608,0.39349845,0.5102805,1.36205,3.1155913
SYSR.ST,-1.0871725,-0.93865985,-0.62645125,-0.9755991,-0.21145348,0.93143547
TAGM-B.ST,2.383751,2.0151265,1.8649294,3.3824947,1.6194291,1.7427813
TIGO-SDB.ST,-1.442741,-1.208849,-0.915935,-0.86051357,0.10298999,1.8896189
TRIAN-B.ST,-1.6816157,-1.7386392,-1.4398986,-2.3066835,-2.1552331,-2.1913633
VITR.ST,-1.317186,-1.1223782,-0.81351554,-1.0174503,-0.12703732,1.2672712
VOLO-PREF.ST,0.5106167,0.4755688,0.7947957,-0.087678656,0.1620483,0.3058607
VOLV-B.ST,-0.23068841,-0.12590447,0.19531988,-0.30994472,0.34547883,1.2761222
ACCON.ST,-0.0032319194,0.15300706,0.3864793,0.658384,1.2612902,2.8508036
AGES-B.ST,1.6095672,1.2456546,1.1064718,2.5708637,0.8456727,1.008466
AKEL-D.ST,-6.0374694,-6.0693626,-5.7979584,-6.55341,-6.419729,-6.389432
ALFA.ST,-0.8863695,-0.7396398,-0.42154542,-0.8002667,-0.029769812,1.1249031
ALIV-SDB.ST,1.6643425,1.6853064,1.8406869,2.3627486,2.3948135,3.7201498
AMBEA.ST,0.121342525,0.3742369,0.6847532,0.6756982,1.7283,3.5280862
AOI.ST,1.5981085,0.2173348,-0.7462314,3.178212,-3.4958296,-6.450435
AQ.ST,-0.057748165,0.19253784,0.5082883,0.45553696,1.5129718,3.284837
ASPIRE.ST,4.3286786,4.202758,4.240201,5.1838226,4.5228887,5.42015
ATCO-B.ST,-0.44377038,-0.36636305,-0.0532566,-0.5991473,-0.03853419,0.7156971
ATORX.ST,2.9543543,2.472099,2.27202,3.918578,1.7067547,1.6598079
ATT.ST,0.120096266,0.22713609,0.43198878,0.79071164,1.1869001,2.6777043
AWRD.ST,-2.2973788,-2.1204197,-1.8201454,-2.0457008,-1.220631,0.04411389
AZN.ST,-0.28958097,-0.3246469,-0.02098281,-0.8403134,-0.620113,-0.53072554
BELE.ST,-1.0424007,-0.8000372,-0.5115625,-0.44634005,0.534386,2.2448158
BHG.ST,-1.2591937,-1.2660139,-0.9803215,-1.7035083,-1.4869217,-1.3072766
BIOA-B.ST,-1.0287797,-0.87633336,-0.67477745,-0.32671228,0.18027383,1.635707
BIOT.ST,-0.88407916,-0.79486364,-0.48621708,-0.9834088,-0.39654866,0.40501755
BOOZT.ST,-0.9295843,-0.7225158,-0.44648105,-0.3301961,0.51649797,2.2551346
BRIG.ST,0.6831983,0.67916054,0.78685915,1.4867098,1.3493571,2.4855719
BUSER.ST,-2.557313,-2.4288225,-2.1361449,-2.5031743,-1.8478798,-0.89403963
CAT-A.ST,0.20888044,0.4223746,0.7364513,0.5745587,1.5239629,3.0377018
CATE.ST,-2.4811523,-2.2900248,-1.9916307,-2.1753733,-1.3157231,0.021842584
CLA-B.ST,3.6293619,1.0044888,-0.83241904,5.830038,-6.600047,-13.074558
CLNK-B.ST,-3.5502844,-3.566491,-3.2750442,-4.0109634,-3.7527306,-3.5790734
COLL.ST,-3.1387553,-4.0531116,-4.581485,-1.955088,-6.111724,-7.4911003
DORO.ST,-0.9693137,-0.7802823,-0.5303913,-0.31567714,0.42329195,2.0594976
DRIL.ST,-0.67357826,-0.47639543,-0.1560229,-0.40124503,0.51728785,1.9614042
DURC-B.ST,0.19896834,-0.6194439,-1.1520748,1.4563892,-2.5541232,-3.8814642
DUST.ST,-0.08599505,0.1676332,0.4805508,0.46968982,1.5298171,3.368753
ENG.ST,-0.04488222,0.06510775,0.3868549,-0.105595134,0.5651916,1.5230228
ENQ.ST,6.2358904,-4.7684684,-9.9800005,10.035835,-35.47276,-62.287544
ENZY.ST,3.5131774,3.1557286,2.9680812,4.573688,2.683181,2.7383263
EOLU-B.ST,-5.084336,-4.9049006,-4.618927,-4.826528,-4.031804,-2.796027
ETX.ST,0.033448048,-0.07436133,-0.053092957,0.9216674,0.29715914,1.0970031
FERRO.ST,-5.6583548,-5.453665,-5.180883,-5.2885346,-4.4906044,-3.1382914
FIL.ST,0.77323353,0.96551853,1.2266626,1.4153082,2.1805093,3.8738978
FOOT-B.ST,-2.0479927,-1.8102707,-1.5355676,-1.5223447,-0.64521235,0.9281036
FPAR-A.ST,-0.67518693,-0.634291,-0.33173797,-0.93694746,-0.50073653,0.0075888843
GAPW-B.ST,0.17112973,0.33071604,0.5579268,0.8584791,1.4593939,3.0126665
GETI-B.ST,2.525618,2.458099,2.770349,1.8417252,1.9779466,1.9006245
GHP.ST,-1.3030846,-1.2353815,-0.93242013,-1.467826,-0.95221394,-0.2898806
GUNN.ST,-0.59428513,-1.4855335,-2.031301,0.68501097,-3.4562485,-4.8953123
HM-B.ST,-0.4985304,-0.52027357,-0.44026747,0.32528147,0.074914016,1.0831854
HNSA.ST,2.6045175,2.3933387,2.3788927,3.4530327,2.435733,3.1177726
HPOL-B.ST,-0.5344573,-0.42869246,-0.23812239,0.16584077,0.5320528,1.9392408
HUM.ST,-0.68135613,-0.45888054,-0.17974071,-0.06267904,0.83527344,2.5804267
HUSQ-B.ST,1.1184489,0.78684205,0.6530386,2.1073418,0.49226725,0.6694759
IMMNOV.ST,-1.8780215,-1.664884,-1.4074762,-1.2232275,-0.3934223,1.2510899
INDU-A.ST,-0.51014566,-0.4772696,-0.16137333,-0.8462408,-0.40661862,0.10771373
IVACC.ST,-3.4285667,-3.3386676,-3.0519443,-3.5084677,-2.9848435,-2.2515185
JM.ST,1.2895389,1.3709202,1.6859957,1.152618,1.7236493,2.4889846
KAPIAB.ST,-0.29029685,-0.3205059,-0.009109075,-0.8472051,-0.5980797,-0.44659758
KINV-B.ST,-0.9464526,-0.70859826,-0.40797374,-0.37807265,0.61228436,2.4289217
LIFCO-B.ST,-1.353626,-1.21395,-0.90405875,-1.2698251,-0.5346932,0.55083764
LIME.ST,-4.5365443,-4.6060805,-4.3309827,-5.196501,-5.1663384,-5.340759
LUND-B.ST,-0.51339483,-0.5638159,-0.25485778,-1.1398152,-0.95286554,-0.9194529
MINEST.ST,-3.0565438,-2.8214808,-2.5574245,-2.4465816,-1.5683786,0.074826494
MIPS.ST,-3.679863,-3.6433053,-3.3542097,-3.9526172,-3.55537,-3.1045282
MNTC.ST,-3.1263528,-2.9017951,-2.657856,-2.4937212,-1.7272245,-0.13831311
MSAB-B.ST,1.7819163,1.6398689,1.6813159,2.5647516,1.8728921,2.7741704
MSON-A.ST,0.086616434,-0.21961789,-0.34200343,1.0727794,-0.444155,-0.21488994
MTG-A.ST,1.178361,1.3436717,1.5840328,1.8444936,2.484717,4.100855
MTRS.ST,1.0911238,1.2660924,1.5128549,1.7533244,2.436093,4.0772524
NETI-B.ST,-22.820286,-48.77317,-56.482803,-21.271381,-116.73663,-176.29082
NLAB.ST,-0.37263486,-0.36312088,-0.24818036,0.41964418,0.34155744,1.4983214
NOKIA-SEK.ST,1.0036827,1.1507095,1.3815401,1.6669548,2.2334552,3.8152902
NWG.ST,-0.8690212,-0.84768236,-0.5364541,-1.2347397,-0.8368051,-0.4003636
NYF.ST,-3.8846886,-3.811993,-3.5338783,-4.0192766,-3.5862806,-2.9682274
ONCO.ST,-0.28796062,-0.09122197,0.15880826,0.3833512,1.1445057,2.774568
ORES.ST,-0.4493802,-0.2896582,0.033536766,-0.32998312,0.4872889,1.7258768
PAX.ST,-1.3769443,-1.1571946,-0.8918151,-0.7282912,0.13712238,1.8150986
PENG-B.ST,1.1777322,0.8363226,0.6323498,2.1972668,0.20435871,0.16728511
PLED.ST,0.67801446,-0.50834376,-1.2933775,2.1471674,-3.4153724,-5.717151
PRCO-B.ST,-1.4451504,-1.3178587,-1.0159811,-1.3853232,-0.70182484,0.2810637
RAY-B.ST,0.21768631,0.16419452,0.23910393,1.0374442,0.6852646,1.7043345
SBB-B.ST,-4.3446293,-4.3258343,-4.038334,-4.6796274,-4.3326397,-3.9797409
SCA-B.ST,-0.72148633,-0.70677036,-0.3926878,-1.1209054,-0.73633873,-0.32565427
SECT-B.ST,-6.5808296,-6.677131,-6.396113,-7.3239493,-7.306175,-7.5806327
SENS.ST,-1.32958,-4.4959307,-6.690603,1.0720133,-13.852256,-21.903248
SEZI.ST,-3.433987,-3.417087,-3.1235168,-3.7737544,-3.4162385,-3.0529027
SF.ST,-3.003456,-3.0424771,-2.7499516,-3.5514705,-3.358016,-3.3116035
SINT.ST,-3.90882,-3.7964354,-3.5027564,-3.8948033,-3.2643156,-2.3744583
SKF-B.ST,0.42481083,0.6715302,0.97430843,1.0144047,2.0303838,3.8524196
SLITE.ST,-4.019228,-3.786266,-3.5140665,-3.5208085,-2.6534812,-1.1218301
SMF.ST,-0.361903,-0.3513583,-0.24316,0.44944108,0.36048362,1.4847323
SNM.ST,1.77953,-0.3402907,-1.8936418,3.7856138,-6.4711304,-11.629895
SOF-B.ST,-1.498567,-2.1946723,-2.6256382,-0.3140489,-3.6780422,-4.6384144
SPEC.ST,0.122080505,0.2940606,0.5256758,0.8168142,1.4645945,3.0316927
STAR-B.ST,-0.9918374,-3.6035566,-5.399455,1.3981496,-10.455597,-16.432915
STRAX.ST,-71.67569,-127.41573,-140.1511,-74.2847,-270.8791,-395.95502
SVIK.ST,-17.693314,-25.07253,-28.666496,-15.019644,-45.51799,-63.515083
TEL2-B.ST,-0.46671033,-0.22551124,0.058957864,0.15078107,1.1170439,2.8368053
TELIA.ST,-0.8195144,-0.7040285,-0.5083216,-0.12586614,0.2814439,1.6970125
THULE.ST,0.076265015,0.1529687,0.47109187,-0.095713645,0.47172946,1.236172
TIETOS.ST,0.11082053,0.04838366,0.104677595,0.96517754,0.5493752,1.4759508
