,0,1,2,3,4,5,6
24STOR.ST,-3.7640195,-3.5703664,-3.587197,-3.6030006,-3.5540032,-3.682664,-3.7889078
AAC.ST,-0.7144927,-0.7103544,-0.7155316,-0.46431428,-0.41069332,-0.25358123,-0.21646917
AAK.ST,-0.834267,-0.5240258,-0.5980832,-0.5498663,-0.5612798,-0.6459621,-0.7488595
AEC.ST,-2.437544,-2.4096458,-2.3253345,-2.4330392,-2.2774684,-2.4710836,-2.5813532
ALIG.ST,2.6583576,2.9107893,2.8624072,2.9167395,2.9330287,2.860603,2.7699625
AMAST-PREF.ST,-1.591124,-1.3127074,-1.3616608,-1.3642426,-1.3475485,-1.4774776,-1.595296
ARION-SDB.ST,0.2859402,0.6129281,0.5193201,0.6204798,0.58712107,0.55145574,0.46681944
ASSA-B.ST,-0.2659799,0.0023012636,-0.043401998,-0.036281362,-0.016313521,-0.13584723,-0.24804845
ATRLJ-B.ST,-2.1640952,-1.9546862,-1.9706447,-1.9852567,-1.9357982,-2.0656078,-2.1734781
AVEN.ST,-0.66141516,-0.44130164,-0.4718796,-0.44316232,-0.4096863,-0.49967474,-0.59256124
AXIC-A.ST,-2.679849,-2.5673428,-2.5415435,-2.5621603,-2.4702444,-2.5908647,-2.681777
BALD-B.ST,-2.442824,-3.5597339,-3.2506049,-2.5621648,-2.1792374,-1.4371542,-1.0220891
BULTEN.ST,2.433028,2.6292484,2.5788493,2.7256644,2.7363691,2.7629278,2.7208986
CAG.ST,-3.7187552,-3.5819974,-3.570957,-3.5757022,-3.500424,-3.608035,-3.6963577
CE.ST,2335.202,1480.9283,1697.3344,2084.3057,2330.1814,2826.425,3124.4834
CEVI.ST,-1.970869,-1.7696527,-1.7904977,-1.7707775,-1.7281107,-1.8226968,-1.9144999
CONS-B.ST,-4.6584153,-4.3158846,-4.4162555,-4.327467,-4.370616,-4.4164596,-4.506086
CORE-A.ST,-12.295681,-12.234835,-12.176738,-12.259701,-12.139152,-12.304319,-12.404119
DDM.ST,-0.30233496,-0.077376254,-0.13882685,-0.0011059291,-0.0034412916,0.012480643,-0.03693301
DIST.ST,-0.3594546,-0.22913934,-0.24327676,-0.13686724,-0.089351796,-0.09018062,-0.13412027
ELAN-B.ST,1.2328988,0.41091347,0.7088725,1.0751171,1.4414151,1.8278576,2.0661821
ELTEL.ST,-0.93716705,-1.0800745,-1.0237256,-0.779651,-0.6621105,-0.49075785,-0.42860368
ELUX-A.ST,-1.7325941,-1.6621609,-1.608894,-1.6650611,-1.5428241,-1.6929401,-1.7909126
ENEA.ST,0.80449307,1.0780363,1.0207058,1.0667772,1.073826,0.9909193,0.8931312
FING-B.ST,9.787046,7.0201116,7.804688,9.115012,10.022401,11.592073,12.537844
